,index,loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag
67991,67991,40000.0,0.0819,814.7,MORTGAGE,140000.0,Not Verified,low_risk,n,19.75,0.0,1.0,18.0,0.0,9471.0,45.0,w,33249.95,33249.95,9740.0,9740.0,6750.05,2989.95,0.0,0.0,0.0,814.7,0.0,1.0,Individual,0.0,0.0,377773.0,1.0,6.0,1.0,2.0,9.0,61443.0,51.0,1.0,1.0,3218.0,26.0,86500.0,0.0,2.0,1.0,3.0,20987.0,65129.0,12.7,0.0,0.0,192.0,180.0,2.0,2.0,3.0,44.0,2.0,0.0,6.0,6.0,6.0,10.0,20.0,11.0,22.0,6.0,18.0,0.0,0.0,0.0,2.0,97.7,0.0,0.0,0.0,527975.0,70914.0,74600.0,99475.0,N,N
25429,25429,6000.0,0.1524,208.7,RENT,55000.0,Not Verified,low_risk,n,11.52,2.0,0.0,8.0,0.0,1280.0,12.0,w,0.0,0.0,6185.59,6185.59,6000.0,185.59,0.0,0.0,0.0,5773.27,0.0,1.0,Individual,0.0,0.0,23460.0,1.0,1.0,1.0,1.0,6.0,22180.0,94.0,0.0,1.0,713.0,68.0,11000.0,1.0,1.0,3.0,2.0,2933.0,4680.0,20.7,0.0,0.0,143.0,144.0,22.0,6.0,0.0,59.0,6.0,0.0,2.0,3.0,2.0,2.0,3.0,7.0,9.0,3.0,8.0,0.0,0.0,0.0,1.0,66.7,0.0,0.0,0.0,34628.0,23460.0,5900.0,23628.0,N,N
38496,38496,3600.0,0.16949999999999998,128.27,RENT,42000.0,Not Verified,low_risk,n,6.74,0.0,0.0,6.0,0.0,4757.0,6.0,w,0.0,0.0,3603.73,3603.73,3600.0,3.73,0.0,0.0,0.0,3607.12,0.0,1.0,Individual,0.0,0.0,19183.0,0.0,3.0,0.0,0.0,40.0,14426.0,96.0,1.0,2.0,4757.0,83.0,8100.0,0.0,0.0,2.0,2.0,3837.0,2543.0,65.2,0.0,0.0,54.0,107.0,9.0,9.0,0.0,9.0,7.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,6.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,23100.0,19183.0,7300.0,15000.0,N,N
19667,19667,20000.0,0.1524,478.33,RENT,100000.0,Not Verified,low_risk,n,12.13,0.0,2.0,7.0,0.0,12731.0,21.0,w,17624.06,17624.06,4766.37,4766.37,2375.94,2390.43,0.0,0.0,0.0,478.33,0.0,1.0,Individual,0.0,0.0,43817.0,1.0,2.0,1.0,3.0,11.0,31086.0,86.0,3.0,3.0,5917.0,78.0,20500.0,0.0,3.0,3.0,6.0,7303.0,6496.0,52.9,0.0,0.0,132.0,290.0,4.0,4.0,0.0,7.0,5.0,0.0,2.0,4.0,3.0,8.0,8.0,5.0,12.0,4.0,7.0,0.0,0.0,0.0,4.0,100.0,50.0,0.0,0.0,56481.0,43817.0,13800.0,35981.0,N,N
37505,37505,3600.0,0.124,120.27,RENT,50000.0,Not Verified,low_risk,n,16.08,0.0,3.0,6.0,0.0,10413.0,6.0,w,0.0,0.0,3602.48,3602.48,3600.0,2.48,0.0,0.0,0.0,3604.96,0.0,1.0,Individual,0.0,0.0,32448.0,2.0,2.0,1.0,1.0,9.0,22035.0,88.0,2.0,2.0,5985.0,71.0,21000.0,3.0,1.0,14.0,3.0,5408.0,10587.0,49.6,0.0,0.0,40.0,159.0,3.0,3.0,0.0,3.0,3.0,0.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,3.0,100.0,25.0,0.0,0.0,45977.0,32448.0,21000.0,24977.0,N,N
26517,26517,27000.0,0.0819,549.93,RENT,57000.0,Verified,low_risk,n,31.41,0.0,0.0,18.0,0.0,39124.0,27.0,w,22837.69,22837.69,6024.66,6024.66,4162.31,1862.35,0.0,0.0,0.0,549.93,0.0,1.0,Joint App,0.0,0.0,52062.0,1.0,1.0,0.0,1.0,23.0,4199.0,36.0,1.0,3.0,13034.0,42.0,104100.0,0.0,0.0,0.0,4.0,2892.0,62009.0,37.0,0.0,0.0,257.0,668.0,2.0,2.0,1.0,2.0,17.0,1.0,10.0,11.0,14.0,16.0,5.0,16.0,20.0,11.0,18.0,0.0,0.0,0.0,1.0,96.2,14.3,0.0,0.0,125240.0,52062.0,98400.0,11629.0,N,N
30063,30063,15000.0,0.08810000000000001,310.0,MORTGAGE,50000.0,Not Verified,low_risk,n,24.44,0.0,1.0,9.0,0.0,15705.0,9.0,w,12738.61,12738.61,3402.66,3402.66,2261.39,1141.27,0.0,0.0,0.0,310.0,0.0,1.0,Individual,0.0,0.0,148560.0,2.0,2.0,0.0,1.0,20.0,34196.0,79.0,3.0,3.0,4376.0,54.0,49600.0,2.0,0.0,1.0,5.0,16507.0,29112.0,33.2,0.0,0.0,32.0,222.0,5.0,5.0,1.0,5.0,5.0,0.0,5.0,6.0,5.0,5.0,2.0,6.0,6.0,6.0,9.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,192786.0,49901.0,43600.0,43276.0,N,N
31659,31659,19000.0,0.08810000000000001,602.52,MORTGAGE,70000.0,Not Verified,low_risk,n,30.94,0.0,0.0,19.0,0.0,40494.0,35.0,w,13715.54,13715.54,6618.42,6618.42,5284.46,1333.96,0.0,0.0,0.0,602.52,0.0,1.0,Joint App,0.0,0.0,746464.0,0.0,8.0,0.0,1.0,13.0,120746.0,115.0,0.0,1.0,9820.0,93.0,69000.0,0.0,1.0,0.0,2.0,39288.0,19195.0,56.4,0.0,0.0,122.0,179.0,14.0,13.0,1.0,14.0,13.0,0.0,4.0,6.0,6.0,8.0,20.0,10.0,14.0,6.0,19.0,0.0,0.0,0.0,0.0,100.0,33.3,0.0,0.0,782289.0,161240.0,44000.0,105289.0,N,N
15003,15003,27575.0,0.11710000000000001,912.07,OWN,142000.0,Source Verified,low_risk,n,17.9,0.0,0.0,20.0,1.0,29778.0,50.0,w,24877.79,24877.79,5436.54,5436.54,2697.21,2739.33,0.0,0.0,0.0,912.07,0.0,1.0,Individual,0.0,0.0,360273.0,3.0,3.0,1.0,3.0,7.0,59808.0,82.0,5.0,9.0,14500.0,42.0,142500.0,6.0,0.0,7.0,13.0,18014.0,65777.0,26.5,0.0,0.0,198.0,164.0,3.0,3.0,3.0,3.0,7.0,0.0,3.0,8.0,9.0,15.0,16.0,16.0,31.0,8.0,20.0,0.0,0.0,0.0,7.0,100.0,22.2,1.0,0.0,488561.0,89586.0,89500.0,72659.0,N,N
75464,75464,31500.0,0.17739999999999997,795.45,MORTGAGE,100000.0,Source Verified,low_risk,n,25.05,2.0,1.0,17.0,0.0,18416.0,57.0,w,0.0,0.0,32349.03,32349.03,31500.0,849.03,0.0,0.0,0.0,32411.12,0.0,1.0,Individual,0.0,0.0,516146.0,3.0,5.0,4.0,6.0,2.0,90475.0,56.0,0.0,0.0,5856.0,55.0,35000.0,1.0,5.0,1.0,7.0,34410.0,12179.0,56.3,0.0,0.0,196.0,259.0,44.0,2.0,4.0,44.0,6.0,0.0,7.0,9.0,9.0,14.0,35.0,11.0,18.0,9.0,17.0,0.0,0.0,0.0,5.0,96.2,28.6,0.0,0.0,562627.0,108891.0,27900.0,115627.0,N,N
