loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,target
26400.0,0.1033,565.22,MORTGAGE,70000.0,Not Verified,n,24.48,0.0,0.0,10.0,0.0,20070.0,16.0,w,19456.15,19456.15,10724.03,10724.03,6943.85,3780.18,0.0,0.0,0.0,565.22,0.0,1.0,Individual,0.0,0.0,211288.0,1.0,1.0,0.0,1.0,16.0,18915.0,63.0,0.0,1.0,6494.0,46.0,54900.0,1.0,3.0,1.0,3.0,23476.0,30615.0,36.4,0.0,0.0,207.0,172.0,19.0,2.0,2.0,31.0,3.0,0.0,5.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,10.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,258000.0,38985.0,48100.0,30000.0,N,N,low_risk
25000.0,0.0819,785.61,MORTGAGE,100000.0,Verified,n,32.76,0.0,2.0,13.0,0.0,8168.0,24.0,w,12643.81,12643.81,14915.21,14915.21,12356.19,2559.02,0.0,0.0,0.0,785.61,0.0,1.0,Joint App,0.0,0.0,340136.0,4.0,4.0,1.0,3.0,3.0,89116.0,71.0,2.0,3.0,3455.0,39.0,67300.0,3.0,1.0,3.0,7.0,26164.0,47493.0,7.2,0.0,0.0,133.0,206.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,5.0,4.0,5.0,11.0,8.0,12.0,5.0,13.0,0.0,0.0,0.0,4.0,87.5,0.0,0.0,0.0,427746.0,97284.0,51200.0,116246.0,N,N,low_risk
10200.0,0.14300000000000002,350.1,MORTGAGE,40000.0,Not Verified,n,20.67,0.0,0.0,8.0,0.0,3306.0,11.0,w,5358.82,5358.82,6643.8,6643.8,4841.18,1802.62,0.0,0.0,0.0,350.1,0.0,1.0,Individual,0.0,0.0,9242.0,0.0,3.0,0.0,1.0,22.0,5936.0,25.0,0.0,0.0,1742.0,33.0,4000.0,2.0,0.0,0.0,1.0,1155.0,236.0,90.6,0.0,0.0,131.0,141.0,50.0,22.0,0.0,50.0,13.0,0.0,2.0,4.0,2.0,2.0,6.0,5.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,80.0,100.0,0.0,0.0,28204.0,9242.0,2500.0,24204.0,N,N,low_risk
15000.0,0.2305,423.29,MORTGAGE,58500.0,Not Verified,n,18.99,0.0,2.0,9.0,0.0,12477.0,16.0,w,11741.62,11741.62,8427.38,8427.38,3258.38,5169.0,0.0,0.0,0.0,423.29,0.0,1.0,Individual,0.0,0.0,30868.0,3.0,2.0,1.0,2.0,6.0,18391.0,80.0,2.0,2.0,9938.0,69.0,21700.0,2.0,1.0,2.0,4.0,3859.0,8823.0,55.9,0.0,0.0,178.0,280.0,5.0,5.0,0.0,5.0,5.0,1.0,2.0,4.0,4.0,7.0,5.0,7.0,11.0,4.0,9.0,0.0,0.0,0.0,3.0,81.3,25.0,0.0,0.0,44700.0,30868.0,20000.0,23000.0,N,N,low_risk
40000.0,0.11019999999999999,870.1,MORTGAGE,90000.0,Not Verified,n,38.87,0.0,2.0,15.0,0.0,24111.0,44.0,w,32007.11,32007.11,14742.72,14742.72,7992.89,6749.83,0.0,0.0,0.0,870.1,0.0,1.0,Individual,0.0,0.0,258299.0,2.0,7.0,3.0,4.0,2.0,155047.0,84.0,2.0,2.0,11567.0,68.0,64000.0,0.0,5.0,2.0,8.0,18450.0,39289.0,38.0,0.0,0.0,186.0,229.0,6.0,2.0,4.0,6.0,1.0,0.0,4.0,4.0,5.0,5.0,32.0,7.0,8.0,4.0,15.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0,322216.0,179158.0,63400.0,174616.0,N,N,low_risk
31250.0,0.0756,972.94,RENT,50000.0,Verified,n,34.28,0.0,0.0,17.0,0.0,5105.0,19.0,w,16507.04,16507.04,17486.67,17486.67,14742.96,2743.71,0.0,0.0,0.0,972.94,0.0,1.0,Joint App,0.0,0.0,77474.0,0.0,13.0,1.0,2.0,11.0,72369.0,79.0,0.0,1.0,2876.0,69.0,21000.0,0.0,0.0,1.0,3.0,4842.0,15895.0,24.3,0.0,0.0,103.0,67.0,15.0,11.0,0.0,15.0,11.0,0.0,2.0,2.0,4.0,4.0,14.0,4.0,5.0,2.0,17.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,112190.0,77474.0,21000.0,91190.0,N,N,low_risk
10450.0,0.124,349.09,OWN,60000.0,Not Verified,n,12.36,0.0,0.0,6.0,0.0,9513.0,10.0,w,5416.93,5416.93,6625.51,6625.51,5033.07,1592.44,0.0,0.0,0.0,349.09,0.0,1.0,Individual,0.0,0.0,15588.0,0.0,1.0,0.0,1.0,16.0,6075.0,61.0,0.0,0.0,7852.0,51.0,20700.0,1.0,0.0,0.0,1.0,2598.0,9687.0,49.5,0.0,0.0,78.0,163.0,30.0,16.0,0.0,33.0,16.0,0.0,2.0,2.0,3.0,4.0,3.0,5.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,90.0,66.7,0.0,0.0,30700.0,15588.0,19200.0,10000.0,N,N,low_risk
6000.0,0.1308,136.77,RENT,55000.0,Source Verified,n,6.02,0.0,1.0,11.0,0.0,4440.0,13.0,f,4170.61,4170.61,2437.23,2437.23,1829.39,607.84,0.0,0.0,0.0,117.14,0.0,1.0,Individual,0.0,0.0,6053.0,2.0,1.0,0.0,1.0,16.0,1613.0,65.0,2.0,6.0,1525.0,31.0,17000.0,0.0,0.0,1.0,7.0,550.0,10038.0,28.3,0.0,0.0,40.0,63.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,7.0,6.0,6.0,3.0,10.0,10.0,7.0,11.0,0.0,0.0,0.0,2.0,84.6,0.0,0.0,0.0,19500.0,6053.0,14000.0,2500.0,N,N,low_risk
27075.0,0.08810000000000001,858.59,MORTGAGE,140000.0,Not Verified,n,31.44,0.0,0.0,10.0,0.0,58034.0,22.0,w,14427.35,14427.35,15428.12,15428.12,12647.65,2780.47,0.0,0.0,0.0,858.59,0.0,1.0,Individual,0.0,0.0,400589.0,0.0,2.0,1.0,1.0,12.0,73855.0,74.0,0.0,0.0,22844.0,68.0,88600.0,1.0,2.0,1.0,1.0,40059.0,17927.0,73.1,0.0,0.0,329.0,157.0,36.0,12.0,2.0,62.0,12.0,0.0,3.0,5.0,5.0,6.0,10.0,7.0,10.0,5.0,10.0,0.0,0.0,0.0,1.0,100.0,60.0,0.0,0.0,492420.0,131889.0,66600.0,113821.0,N,N,low_risk
30000.0,0.11710000000000001,992.28,MORTGAGE,75000.0,Not Verified,n,39.89,4.0,0.0,21.0,0.0,69760.0,27.0,w,14774.06,14774.06,19826.08,19826.08,15225.94,4600.14,0.0,0.0,0.0,992.28,0.0,1.0,Individual,0.0,0.0,110334.0,1.0,2.0,0.0,0.0,37.0,30017.0,69.0,2.0,2.0,13028.0,69.0,101700.0,0.0,0.0,1.0,2.0,5254.0,25268.0,66.8,0.0,0.0,219.0,287.0,6.0,6.0,1.0,6.0,3.0,0.0,11.0,15.0,13.0,13.0,4.0,18.0,22.0,15.0,21.0,0.0,0.0,0.0,2.0,66.7,69.2,0.0,0.0,218477.0,99777.0,76200.0,43412.0,N,N,low_risk
